itemLabel,positionLabel
Tellar Riing Deng,"Justice"
Stephen Dhieu Dau,"Petroleum, Mining, and Environment"
Obuto Mamur Mete,"National Security in the office of the President"
Kuol Manyang Juuk,"Defense and Veteran Affairs"
Riak Gai Kok,"Health"
John Gach Yoh,"Education, Science, and Technology"
Awut Deng Acuil,"Gender and Social Development"
Simon Mijok Mijak,"Transport, Road, and Bridges"
Agrey Tisa Sabuni,"Finance, Commerce, and Economic Planning"
Marial Benjamin Barnaba,"Minister of Foreign Affairs and International Cooperation"
Ngor Kulang,"Youth and Sport"
Aleu Ayeny Aleu,"Interior and Wildlife Conservation"
Kuong Doanier Gakluak,"Labor, Public Service, and Human Resource Development"
Abdalla Deng Nhial,"Electricity, Dams, and Water Resources"
Michael Makwei Lueth,"Information, Broadcasting, and Telecommunication"
Beda Machar Teng,"Agriculture, Forestry, Tourism and Animal Resources and Fisheries"
Jemma Nunu Kumba,"Land, Housing and Physical Planning"
Martin Elia Lomuro,"Cabinet Affairs"
