item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q111595868,Ruben Madol Arol Kachuol,Q112686712,Minister of Justice (South Sudan),2020,,,Q111595868-DA29C692-C29E-44BB-8202-8E2437AE62EA
Q112525634,Gier Chuang Aluong,Q112686920,Minister of Roads and Bridges,2018,,,Q112525634-3806A593-4B49-4554-934C-AFC525B91265
Q112685733,Josephine Lagu,Q112685688,Minister of Agriculture,2019,,,Q112685733-7C66B2D9-8DF4-47B4-AFB6-8ADBD0C41568
Q112686131,Albino Bol,Q112686075,"Minister of Culture, Youth and Sports",2020-03-12,,,Q112686131-B568DD77-E5EA-41C3-A67F-39C67914FEFA
Q112686280,Puot Kang Chol,Q112686266,Minister of Petroleum and Mining,2020-03,,,Q112686280-BDE6D938-CDBC-498A-A9A8-C14ED4466D25
Q112686376,Kuel Aguer Kuel,Q112669693,Minister of Health of South Sudan,2020,,,Q112686376-02A85BEE-85EB-4E17-B051-2ECAA891F6EC
Q112686447,Salvatore Garang,Q112686425,Minister of Finance and Economic Planning,2018-03,2020-09,,Q112686447-3F9EF05A-ABF1-4BE4-9922-8C32930A2378
Q112686448,Athian Ding Athian,Q112686425,Minister of Finance and Economic Planning,2020-09,2021-11-12,,Q112686448-B8D113FA-B64E-4B85-9831-E6566F20BD14
Q112686449,Agak Achuil Lual,Q112686425,Minister of Finance and Economic Planning,2021-11-12,,,Q112686449-DFE5375D-3C51-4DEE-9EFB-6E600E365B8A
Q112686595,Agnes Kwaje Lasuba,Q112686588,"Minister of Gender, Social Welfare and Religious Affairs",2020-07,,,Q112686595-399B2F21-C35C-43DD-92DA-C6D7DD80BC84
Q112686617,Peter Mayen Majongdit,Q112686609,Minister of Humanitarian Affairs and Disaster Management,2020,,,Q112686617-9BBDFC91-FC48-476D-9012-45370EBA3A8B
Q112686679,Obuto Mamur Mete,Q112686666,Minister of National Security,2020-03-12,,https://radiotamazuj.org/en/news/article/south-sudan-s-kiir-names-cabinet,Q112686679-B2F9B63B-17AF-47A6-A962-518FC6358B24
Q112686777,Manawa Peter Gatkuoth,Q112686748,Minister of Irrigation and Water Resources,2022-03,2022-06-19,,Q112686777-BAD46828-B406-4083-AD3B-9620CCF4F29F
Q112688773,Mahmoud Solomon,Q112686903,Minister of Internal Affairs,2021-11-12,,,Q112688773-0489DF0B-2A95-4ADE-997E-0DB4D5DA08B8
Q12748065,Awut Deng Acuil,Q112686383,"Minister of Education, Science and Technology",2020,,,Q12748065-85356E91-E449-4A7C-ADC9-828B896A5CCB
Q444994,Riek Machar,Q112686191,Minister of Transport and Roads,2020,,,Q444994-D38817E9-226D-43D1-B3ED-25F0ED1EDB2A
Q4762750,Angelina Teny,Q112686152,Minister of Defence and Veterans Affairs (South Sudan),2020-03-12,,,Q4762750-E7BFBCEF-A522-4B36-969E-D9A84CFFE4DB
Q4861322,Barnaba Marial Benjamin,Q112686639,Minister of Presidential Affairs,2021-05,,,Q4861322-D970CD2F-867A-4E8B-9D7B-B6B158701C4D
Q48975135,Mayiik Ayii Deng,Q112686406,Minister of Foreign Affairs and International Cooperation,2021-09-09,,,Q48975135-D16FDAA5-20F1-4E9F-ADEA-297A58A42DAA
Q48975135,Mayiik Ayii Deng,Q112686639,Minister of Presidential Affairs,2016-04-29,2020-06,,Q48975135-F45BBFAA-4DAF-4EB5-A1DC-C21D6AF9B0F0
Q5515569,Gabriel Changson Chang,Q112684932,Minister of Higher Education,2020,,,Q5515569-D263B014-2E57-47EE-B68A-A62F8FD91A0A
Q6177210,Jemma Nunu Kumba,Q112686171,Minister of Wildlife Conservation and Tourism,2020,,,Q6177210-B92E76F9-62C1-4BA4-88D5-0F37374E78EA
Q6832462,Michael Makue Loweth,Q112686797,Minister of Information and Broadcasting,2020-03-13,,,Q6832462-4B53C8DE-868A-4EA4-BE22-A1A8B125F7A4
Q7152291,Paul Mayom Akech,Q112686903,Minister of Internal Affairs,2020-03-12,2021-11-12,,Q7152291-882D6C80-89EE-41F8-9F90-B89BD34AE293
Q90955928,Beatrice Wani-Noah,Q112686406,Minister of Foreign Affairs and International Cooperation,2020,2021,,Q90955928-9325E5C1-8DBF-448D-ABB9-6E666A18EEBB
Q97413828,Denay Jock Chagor,Q112684932,Minister of Higher Education,2019-03-12,2020-07-15,,Q97413828-5F6183F2-783B-4DEF-9387-29A65E9355BE
