item,itemLabel,position,positionLabel,state,stateLabel
,Tong Aken Ngor,,Governor of Northern Bahr el Ghazal,Q491111,Northern Bahr el Ghazal
Q105223028,Sarah Cleto Rial,,Governor of Western Bahr el Ghazal,Q332095,Western Bahr el Ghazal
,Rin Tueny Mabor,,Governor of Lakes,Q491096,Lakes
,Aleu Ayieny Aleu,,Governor of Warrap,Q491138,Warrap
,Alfred Futiyu,,Governor of Western Equatoria,Q319979,Western Equatoria
Q96776905,Emmanuel Adil Anthony,,Governor of Central Equatoria,Q487709,Central Equatoria
Q16202255,Louis Lobong Lojore,,Governor of Eastern Equatoria,Q488519,Eastern Equatoria
Q97413828,Denay Jock Chagor,,Governor of Jonglei,Q488904,Jonglei
Q22278446,Joseph Monytuil,,Governor of Unity,Q319965,Unity
,Budhok Ayang Kur,,Governor of Upper Nile,Q487702,Upper Nile
Q96760058,Kuol Deim Kuol,,Governor of Abyei Area,Q336494,Abyei Area
,Lokali Amae Bullen,,Governor of Greater Pibor Area,Q23058316,Greater Pibor Area
,Stefano Wieu Mialek,,Governor of Ruweng Area,Q25101090,Ruweng Area
