item,itemLabel,position,positionLabel,state,stateLabel,source,sourceDate,psid
Q96760058,Kuol Deim Kuol,Q112677395,Chief Administrator of the Abyei Area,Q336494,Abyei,,,Q96760058-995FC840-7600-4B78-832E-44ED1399FCD0
Q96776905,Emmanuel Adil Anthony,Q112684421,Governor of Central Equatoria,Q487709,Central Equatoria,,,Q96776905-A7C7DAC1-6B5A-42FF-B75D-ECA2DEE7DB10
Q16202255,Louis Lobong Lojore,Q112684398,Governor of Eastern Equatoria,Q488519,Eastern Equatoria,,,Q16202255-FE2840AF-EB30-472E-97FA-A0E2FCE7825B
Q97413828,Denay Jock Chagor,Q112684916,Governor of Jonglei,Q488904,Jonglei,,,Q97413828-D02429F3-CB4C-4F14-B854-D16434BE3EB3
Q112684182,Rin Tueny Mabor,Q112684168,Governor of Lakes,Q491096,Lakes,,,Q112684182-6870F2D6-CDC9-4B08-953F-837A3C9F8D57
Q105604868,Tong Aken Ngor,Q112684068,Governor of Northern Bahr el Ghazal,Q491111,Northern Bahr el Ghazal,https://en.wikipedia.org/wiki/States_of_South_Sudan,2022-06-24,Q105604868-250D4A84-2850-4140-A7B3-29B26C8D374A
Q112685210,Lokali Amae Bullen,Q112684949,Chief Administrator of Pibor Administrative Area,Q23058316,Pibor Administrative Area,https://en.wikipedia.org/wiki/States_of_South_Sudan,2022-06-24,Q112685210-32F46F7D-7066-4ACC-A627-75169E801B49
Q112685472,Stefano Wieu Mialek,Q112684204,Chief Administrator of Ruweng Administrative Area,Q25101090,Ruweng Administrative Area,,,Q112685472-0F4FFE5A-072E-4E97-BAE0-BB3689A938F2
Q22278446,Joseph Monytuil,Q112684874,Governor of Unity,Q319965,Unity,,,Q22278446-41AD150B-4DAE-46FD-AF6D-E918AE317540
Q112684906,Budhok Ayang Kur,Q112684891,Governor of Upper Nile,Q487702,Upper Nile,,,Q112684906-D3C5CF44-7B25-4786-8E90-5CA45A988374
Q112525561,Aleu Ayieny Aleu,Q112684114,Governor of Warrap,Q491138,Warrap,,,Q112525561-AEF22B4A-DB17-49C7-A52A-0A55BCF5F98E
Q105223028,Sarah Cleto Rial,Q112683954,Governor of Western Bahr el Ghazal,Q332095,Western Bahr el Ghazal,https://en.wikipedia.org/wiki/States_of_South_Sudan,2022-06-24,Q105223028-10867A11-903B-4E51-A3EF-30FB962CC9DD
Q112684546,Alfred Futiyu,Q112684454,Governor of Western Equatoria,Q319979,Western Equatoria,https://en.wikipedia.org/wiki/States_of_South_Sudan,2022-06-24,Q112684546-C22ED27B-F499-4F17-BAEA-286BA7B0962B
