itemLabel,areaLabel,partyLabel
Bilal Moses Onesmus,CE,SPLM
Henry Stephen Tanga,CE,SPLM
Thomas Wani Kundu,CE,SPLM
Peter Samuel Moga,CE,SPLM
Sobur John Mansuk,CE,SPLM
Joseph Dilly Lokura,CE,SPLM
Lazarus Parmela Farajallah,CE,SPLM
Natire Anne Grace,EE,SPLM
Louis Willy Ationg,EE,SPLM
Grace Abalang Adiho,EE,SPLM
Elisabeth Nyaruach Tap,Jonglei,SPLM
Kutin Bayek Din,Jonglei,SPLM
David Yien Bilieth,Jonglei,SPLM
Mary Nyarieka Lorjok,Jonglei,SPLM
Esbola Majok Bangot,Jonglei,SPLM
Nyitur Daniel Dhieu,Lakes,SPLM
Adhieu Thiet,Northern Bahr el Ghazal,SPLM
Victoria Adhar Arop,Warrap,SPLM
Samuel Duwar Deng,Warrap,SPLM
Nadia Mahajub Babiker,Western Bahr el Ghazal,SPLM
Mary Yol Badeng,Unity,SPLM
Nyalok James Thiong,Unity,SPLM
Robert Ruai Kuol,Unity,SPLM
Nyuon Janguan Loi,Unity,SPLM
Saleh Saaid Ukuh,WE,SPLM
Vosca Martin Enocka,WE,SPLM
Ketura Yola Ambara,WE,SPLM
Elnama Daniel Joseph,WE,SPLM
Lorian Ibon,PAA,SPLM
Charles Welo,PAA,SPLM
Francis Lokurnyang,PAA,SPLM
Ayen Luka Ngor,Warrap,National Agenda
Anthony Jervase Yak,Western Bahr el Ghazal,National Agenda
Martin Magok Kawai,Unity,SSOA
Chuong Wan Rieth Kuol,Jonglei,SSOA
