item,itemLabel,startDate,endDate
Q5521927,Garang Diing Akuong,2011,2011
Q4861322,Barnaba Marial Benjamin,2011,2011
Q5521927,Garang Diing Akuong,2011-08-07,2015-02-23
,Akec Khoc Aciew Khoc,2015-02-23,2015-02-23
Q4861322,Barnaba Marial Benjamin,2015-02-23,2015-02-27
,Joseph Bangasi Bakosoro,2015,2015
Q90955928,Beatrice Wani-Noah,2015,2016
Q112685857,Martin Elia Lomuro,2016,2016
Q5256910,Deng Alor Kuol,2016,2016
,Moses Hassen Tiel,2016,2016
,Paul Mayom Akec,2016,2016
Q4893553,Nhial Deng Nhial,2016,2017
Q12748065,Awut Deng Acuil,2017,
