item,itemLabel,position,positionLabel,start,psid
Q112525561,Aleu Ayieny Aleu,Q112686903,Minister of Internal Affairs,2013-07-31,Q112525561-14D122CE-BC03-4A9D-9500-3E98C5CFD23A
Q112525827,Mary Nawai Martin,Q112686629,Minister of Parliamentary Affairs,2020-03-12,Q112525827-008DB712-BF9B-42C6-BBFC-0151A4970662
Q112685733,Josephine Lagu,Q112685688,Minister of Agriculture,2019-01-01,Q112685733-7C66B2D9-8DF4-47B4-AFB6-8ADBD0C41568
Q112686131,Albino Bol,Q112686075,"Minister of Culture, Youth and Sports",2020-03-12,Q112686131-B568DD77-E5EA-41C3-A67F-39C67914FEFA
Q112686280,Puot Kang Chol,Q112686266,Minister of Petroleum and Mining,2020-03-01,Q112686280-BDE6D938-CDBC-498A-A9A8-C14ED4466D25
Q112686449,Agak Achuil Lual,Q112686425,Minister of Finance and Economic Planning,2021-11-12,Q112686449-DFE5375D-3C51-4DEE-9EFB-6E600E365B8A
Q112686617,Peter Mayen Majongdit,Q112686609,Minister of Humanitarian Affairs and Disaster Management,2020-01-01,Q112686617-9BBDFC91-FC48-476D-9012-45370EBA3A8B
Q112686679,Obuto Mamur Mete,Q112686666,Minister of National Security,2020-03-12,Q112686679-B2F9B63B-17AF-47A6-A962-518FC6358B24
Q112688773,Mahmoud Solomon,Q112686903,Minister of Internal Affairs,2021-11-12,Q112688773-0489DF0B-2A95-4ADE-997E-0DB4D5DA08B8
Q112709566,Martin Abucha,Q112686266,Minister of Petroleum and Mining,2021-12-01,Q112709566-F6B4E14A-FC93-4376-8E7B-74E22DB2260B
Q112710955,Yolanda Wel Deng,Q112669693,Minister of Health of South Sudan,2022-03-23,Q112710955-c0e8c647-4f57-0aaa-94ff-d2818cd18c9f
Q12748065,Awut Deng Acuil,Q112686383,"Minister of Education, Science and Technology",2020-01-01,Q12748065-85356E91-E449-4A7C-ADC9-828B896A5CCB
Q3379134,Rebecca Nyandeng De Mabior,Q53569601,Vice President of South Sudan,2020-02-21,Q3379134-EDA5CC77-4389-41E4-8AFD-25F226067732
Q444994,Riek Machar,Q53569601,Vice President of South Sudan,2020-02-21,Q444994-06305028-EDAA-4028-A1FD-BB4F81E2DCD2
Q4762750,Angelina Teny,Q112686152,Minister of Defence and Veterans Affairs (South Sudan),2020-03-12,Q4762750-E7BFBCEF-A522-4B36-969E-D9A84CFFE4DB
Q4861322,Barnaba Marial Benjamin,Q112686639,Minister of Presidential Affairs,2021-05-01,Q4861322-D970CD2F-867A-4E8B-9D7B-B6B158701C4D
Q48975135,Mayiik Ayii Deng,Q112686406,Minister of Foreign Affairs and International Cooperation,2021-09-09,Q48975135-D16FDAA5-20F1-4E9F-ADEA-297A58A42DAA
Q5232921,David Deng Athorbie,Q112686425,Minister of Finance and Economic Planning,2015-01-12,Q5232921-ef82099b-4b5b-5dca-2d94-a27399f5caa0
Q5256910,Deng Alor Kuol,Q112707125,Minister of East African Affairs,2020-07-17,Q5256910-6a086441-4ec8-c88a-8fbd-a70a6bf61ff6
Q5515569,Gabriel Changson Chang,Q112684932,Minister of Higher Education,2020-07-15,Q5515569-D263B014-2E57-47EE-B68A-A62F8FD91A0A
Q6145116,James Wani Igga,Q53569601,Vice President of South Sudan,2020-02-21,Q6145116-1C54D851-34BD-4001-ABAA-8AEB066C857F
Q6832462,Michael Makue Loweth,Q112686797,Minister of Information and Broadcasting,2020-03-13,Q6832462-4B53C8DE-868A-4EA4-BE22-A1A8B125F7A4
Q7672883,Taban Deng Gai,Q53569601,Vice President of South Sudan,2020-02-21,Q7672883-AE93741A-55A8-4DDC-A814-52AD3290DF8D
Q86281606,Hussein Abdelbagi,Q53569601,Vice President of South Sudan,2020-02-23,Q86281606-B47057C5-089D-4AFD-9F0B-95E40ECA695C
