position,title
Q112684421,Governor of Central Equatoria
Q112684398,Governor of Eastern Equatoria
Q112684916,Governor of Jonglei
Q112684168,Governor of Lakes
Q112684046,Governor of Lol State
Q112684068,Governor of Northern Bahr el Ghazal
Q112684092,Governor of Tonj State
Q112684874,Governor of Unity
Q112684891,Governor of Upper Nile
Q112684114,Governor of Warrap
Q112683954,Governor of Western Bahr el Ghazal
Q112684454,Governor of Western Equatoria
Q112684429,Governor of Yei River State
Q112677395,Chief Administrator of the Abyei Area
Q112677395,Chief Administrator of the Abyei Area
Q112684949,Chief Administrator of Pibor Administrative Area
Q112684204,Chief Administrator of Ruweng Administrative Area
Q112684140,Governor of Twic
Q112683988,Minister of Agriculture of Western Bahr el Ghazal
Q112683964,Minister of Finance of Western Bahr el Ghazal
Q112683991,Minister of Legal Affairs of Western Bahr el Ghazal
Q40338552,ambassador to Canada
Q30083495,ambassador to the People's Republic of China
Q38251547,ambassador to the United States of America
